# Z BIN1 BIN2 BIN3 BIN4 BIN5 BIN6
0.455 0.7761758161360968 5.582671923804218 0.2780016995133649 0.06798567088331937 0.03566645042360904 0.047577375352459074
0.465 0.6445022660544071 5.720031068195698 0.29495032430470786 0.0716883289000491 0.037038590542891374 0.05262901922213103
0.475 0.542129748565038 5.798855439202294 0.31944293333795537 0.07462347125099252 0.038961220844390736 0.057346158089486336
0.485 0.4554065466949905 5.814283447145844 0.3580774381025228 0.0762226463202754 0.041670627291127686 0.06047516988687473
0.495 0.3804094390779334 5.744073829578167 0.4202002699647881 0.07789848688012671 0.04430357127518197 0.0639181574182833
0.505 0.3157156012884796 5.570843825709285 0.5186461258607437 0.08051632118311035 0.046638619291332804 0.06572905201659705
0.515 0.26217896312779465 5.261525921943392 0.6868450678706393 0.08321761590682354 0.04954927115896188 0.06713982425043483
0.525 0.21873023981673861 4.800937453188503 0.9893828736269875 0.087048966501397 0.05379243449717324 0.06915522118262891
0.535 0.18246908708191528 4.140157413296669 1.5043433632206926 0.09181398282902054 0.05742045634162049 0.07185912612356983
0.545 0.1482938171442761 3.2651954038295905 2.3160559425393 0.09907679101364573 0.060666754224623747 0.07479385538924464
0.555 0.11651615192982971 2.195458467582633 3.3932212577484067 0.10895633412621292 0.06459661602312258 0.07882272045805289
0.5650000000000001 0.09184580738028357 1.4350420294830937 4.178601381722795 0.12159040060266281 0.06790107536607537 0.08247148391595899
0.575 0.0720048001761972 0.9584268372828693 4.741399172993402 0.13921198093683926 0.07356938030769034 0.08705700503413553
0.585 0.05701304530336378 0.6774479425259505 5.133036640760815 0.1609513188355277 0.07945003145495926 0.09108409904185974
0.595 0.04509616880888733 0.4987543892222429 5.4429967392696526 0.1909141681319264 0.08581323374246419 0.09595503716364491
0.605 0.036363015633253726 0.37060032955289024 5.698937745854018 0.23295516327859828 0.0906865690822411 0.10186407134322165
0.615 0.028746171780079002 0.27990498509501544 5.891196285604474 0.2925425573338717 0.09885550194184028 0.10825702543316466
0.625 0.02304019127576753 0.21598237269422718 5.997627510004234 0.38315749268248983 0.11028850424830089 0.11454169219265593
0.635 0.018853692719390837 0.16991169415118593 6.010992262113654 0.5201253040946312 0.12028856082381388 0.12287771181161843
0.645 0.015171841314615495 0.13433132936301556 5.935715874509513 0.7254317642610897 0.1312138251225667 0.13349336569996265
0.655 0.012440484156600422 0.10638714688673886 5.75715287074512 1.018445730483253 0.14635591253907798 0.14395962706859716
0.665 0.010417242890266255 0.08602778435992661 5.4435964473416965 1.4149199171350404 0.16356713950407697 0.15346223185888458
0.675 0.00900618557786043 0.07226210620737585 4.969859810076408 1.909312702055596 0.18540601075086544 0.16239601133649828
