# Z BIN1 BIN2 BIN3 BIN4 BIN5
1.2400000000000002 0.0 0.0 0.0 0.0 0.0
1.25 0.0 0.0 0.0 0.0 0.0
1.2600000000000002 0.0 0.0 0.0 0.0 0.0
1.27 0.0 0.0 0.0 0.0 0.0
1.2800000000000002 0.0 0.0 0.0 0.0 0.0
1.29 0.0 0.0 0.0 0.0 0.0
1.3000000000000003 0.0 0.0 0.0 0.0 0.0
1.31 0.0 0.0 0.0 0.0 0.0
1.3200000000000003 0.0 0.0 0.0 0.0 0.0
1.33 0.0 0.0 0.0 0.0 0.0
1.3400000000000003 0.0 0.0 0.0 0.0 0.0
1.35 0.0 0.0 0.0 0.0 0.0
1.3600000000000003 0.0 0.0 0.0 0.0 0.0
1.37 0.0 0.0 0.0 0.0 0.0
1.3800000000000003 0.0 0.0 0.0 0.0 0.0
1.3900000000000001 0.0 0.0 0.0 0.0 0.0
1.4000000000000001 0.0 0.0 0.0 0.0 0.0
1.4100000000000001 0.0 0.0 0.0 0.0 0.0
1.42 0.0 0.0 0.0 0.0 0.0
1.4300000000000002 0.0 0.0 0.0 0.0 0.0
1.44 0.0 0.0 0.0 0.0 0.0
1.4500000000000002 0.0 0.0 0.0 0.0 0.0
1.46 0.0 0.0 0.0 0.0 0.0
1.4700000000000002 0.0 0.0 0.0 0.0 0.0
1.48 0.0 0.0 0.0 0.0 0.0
1.4900000000000002 0.0 0.0 0.0 0.0 0.0
1.5 0.0 0.0 0.0 0.0 0.0
1.5100000000000002 0.0 0.0 0.0 0.0 0.0
1.52 0.0 0.0 0.0 0.0 0.0
1.5300000000000002 0.0 0.0 0.0 0.0 0.0
1.54 0.0 0.0 0.0 0.0 0.0
1.5500000000000003 0.0 0.0 0.0 0.0 0.0
1.56 0.0 0.0 0.0 0.0 0.0
1.5700000000000003 0.0 0.0 0.0 0.0 0.0
1.58 0.0 0.0 0.0 0.0 0.0
1.5900000000000003 0.0 0.0 0.0 0.0 0.0
1.6 0.0 0.0 0.0 0.0 0.0
