# z n_z
1.035000000000000142e+00 1.685625000000000000e+02
1.044999999999999929e+00 1.245000000000000000e+02
1.055000000000000160e+00 1.155625000000000000e+02
1.064999999999999947e+00 9.168750000000000000e+01
1.075000000000000178e+00 7.362500000000000000e+01
1.084999999999999964e+00 6.818750000000000000e+01
1.095000000000000195e+00 5.618750000000000000e+01
1.104999999999999982e+00 3.800000000000000000e+01
1.115000000000000213e+00 3.043750000000000000e+01
1.125000000000000000e+00 2.062500000000000000e+01
1.135000000000000231e+00 1.800000000000000000e+01
1.145000000000000018e+00 1.643750000000000000e+01
1.155000000000000027e+00 1.793750000000000000e+01
1.165000000000000036e+00 2.062500000000000000e+01
1.174999999999999822e+00 1.700000000000000000e+01
1.185000000000000053e+00 1.675000000000000000e+01
1.194999999999999840e+00 1.187500000000000000e+00
1.205000000000000071e+00 0.000000000000000000e+00
1.214999999999999858e+00 0.000000000000000000e+00
1.225000000000000089e+00 0.000000000000000000e+00
1.234999999999999876e+00 0.000000000000000000e+00
1.245000000000000107e+00 0.000000000000000000e+00
1.254999999999999893e+00 0.000000000000000000e+00
1.265000000000000124e+00 0.000000000000000000e+00
1.274999999999999911e+00 0.000000000000000000e+00
1.285000000000000142e+00 0.000000000000000000e+00
1.294999999999999929e+00 0.000000000000000000e+00
1.305000000000000160e+00 0.000000000000000000e+00
1.314999999999999947e+00 0.000000000000000000e+00
1.325000000000000178e+00 0.000000000000000000e+00
1.334999999999999964e+00 0.000000000000000000e+00
1.345000000000000195e+00 0.000000000000000000e+00
1.354999999999999982e+00 0.000000000000000000e+00
1.365000000000000213e+00 0.000000000000000000e+00
1.375000000000000000e+00 0.000000000000000000e+00
1.385000000000000231e+00 0.000000000000000000e+00
1.395000000000000018e+00 0.000000000000000000e+00
1.405000000000000027e+00 0.000000000000000000e+00
1.415000000000000036e+00 0.000000000000000000e+00
1.424999999999999822e+00 0.000000000000000000e+00
1.435000000000000053e+00 0.000000000000000000e+00
1.444999999999999840e+00 0.000000000000000000e+00
1.455000000000000071e+00 0.000000000000000000e+00
1.464999999999999858e+00 0.000000000000000000e+00
1.475000000000000089e+00 0.000000000000000000e+00
1.484999999999999876e+00 0.000000000000000000e+00
1.495000000000000107e+00 0.000000000000000000e+00
1.504999999999999893e+00 0.000000000000000000e+00
1.515000000000000124e+00 0.000000000000000000e+00
1.524999999999999911e+00 0.000000000000000000e+00
1.535000000000000142e+00 0.000000000000000000e+00
1.544999999999999929e+00 0.000000000000000000e+00
1.555000000000000160e+00 0.000000000000000000e+00
1.564999999999999947e+00 0.000000000000000000e+00
1.575000000000000178e+00 0.000000000000000000e+00
1.584999999999999964e+00 0.000000000000000000e+00
1.595000000000000195e+00 0.000000000000000000e+00
1.604999999999999982e+00 0.000000000000000000e+00
1.615000000000000213e+00 0.000000000000000000e+00
1.625000000000000000e+00 0.000000000000000000e+00
1.635000000000000231e+00 0.000000000000000000e+00
1.645000000000000018e+00 0.000000000000000000e+00
1.655000000000000249e+00 0.000000000000000000e+00
1.665000000000000036e+00 0.000000000000000000e+00
1.674999999999999822e+00 0.000000000000000000e+00
1.685000000000000053e+00 0.000000000000000000e+00
1.694999999999999840e+00 0.000000000000000000e+00
1.705000000000000071e+00 0.000000000000000000e+00
1.714999999999999858e+00 0.000000000000000000e+00
1.725000000000000089e+00 0.000000000000000000e+00
