# z n_z
5.550000000000000488e-01 1.402848313099252398e+00
5.650000000000000577e-01 1.370655556990276969e+00
5.749999999999999556e-01 1.334150654440190653e+00
5.849999999999999645e-01 1.296628989151682232e+00
5.949999999999999734e-01 1.261158150551604296e+00
6.049999999999999822e-01 1.229374581452815862e+00
6.149999999999999911e-01 1.201396513948278288e+00
6.250000000000000000e-01 1.176270747857419696e+00
6.350000000000000089e-01 1.153681315013735276e+00
6.450000000000000178e-01 1.134832412340663010e+00
6.550000000000000266e-01 1.120175841636629865e+00
6.650000000000000355e-01 1.108408128660946401e+00
6.750000000000000444e-01 1.097617564408623902e+00
6.850000000000000533e-01 1.086394528709206497e+00
6.950000000000000622e-01 1.075492651270238076e+00
7.050000000000000711e-01 1.066691369013057944e+00
7.149999999999999689e-01 1.060485444414368539e+00
7.249999999999999778e-01 1.056184176393775598e+00
7.349999999999999867e-01 1.051434794567141839e+00
7.449999999999999956e-01 1.043712700252904524e+00
7.550000000000000044e-01 1.032400033699907294e+00
7.650000000000000133e-01 1.018580005566070756e+00
7.750000000000000222e-01 1.002861917237212630e+00
7.850000000000000311e-01 9.848973518507301295e-01
7.950000000000000400e-01 9.647801252223082713e-01
8.050000000000000488e-01 9.431516573235937395e-01
8.150000000000000577e-01 9.203333171704055626e-01
8.250000000000000666e-01 8.968118515394731816e-01
8.349999999999999645e-01 8.726107330259990080e-01
8.449999999999999734e-01 8.470291909402497543e-01
8.549999999999999822e-01 8.193300962786659314e-01
8.649999999999999911e-01 7.894843921653194041e-01
8.750000000000000000e-01 7.581802548439370293e-01
8.850000000000000089e-01 7.271717438233402664e-01
8.950000000000000178e-01 6.988884159407489083e-01
9.050000000000000266e-01 6.752056010698194166e-01
9.150000000000000355e-01 6.571560058095760049e-01
9.250000000000000444e-01 6.452358093697498909e-01
9.350000000000000533e-01 6.384050769635349898e-01
9.450000000000000622e-01 6.345260128353562568e-01
9.550000000000000711e-01 6.308407123454038423e-01
9.649999999999999689e-01 6.238407213658020423e-01
9.749999999999999778e-01 6.108905431609089609e-01
9.849999999999999867e-01 5.932610077405517934e-01
9.949999999999999956e-01 5.725075712304653619e-01
1.004999999999999893e+00 5.495536211620675182e-01
1.015000000000000124e+00 5.243744377139819557e-01
1.024999999999999911e+00 4.966624364279514925e-01
1.035000000000000142e+00 4.671736463044443566e-01
1.044999999999999929e+00 4.372594804388349465e-01
1.055000000000000160e+00 4.083826673955839870e-01
1.064999999999999947e+00 3.816928081861686306e-01
1.075000000000000178e+00 3.579792231696827809e-01
1.084999999999999964e+00 3.375363754728559207e-01
1.095000000000000195e+00 3.201440271026980700e-01
1.104999999999999982e+00 3.051699931941496691e-01
1.115000000000000213e+00 2.916453320851801756e-01
1.125000000000000000e+00 2.789856763382719818e-01
1.135000000000000231e+00 2.671604054722342969e-01
1.145000000000000018e+00 2.566396460056342144e-01
1.155000000000000027e+00 2.479030684818366581e-01
1.165000000000000036e+00 2.408258044872454984e-01
1.174999999999999822e+00 2.350157423698111259e-01
1.185000000000000053e+00 2.301589680112539615e-01
1.194999999999999840e+00 2.255715343033646292e-01
1.205000000000000071e+00 2.206651728706482962e-01
1.214999999999999858e+00 2.149716554139686486e-01
1.225000000000000089e+00 2.080221105394679804e-01
1.234999999999999876e+00 1.997703248916942453e-01
1.245000000000000107e+00 1.906642083303882185e-01
1.254999999999999893e+00 1.810222410935148352e-01
1.265000000000000124e+00 1.709564213478013683e-01
1.274999999999999911e+00 1.607476103143465063e-01
1.285000000000000142e+00 1.506750962750417200e-01
1.294999999999999929e+00 1.409479046192493035e-01
1.305000000000000160e+00 1.317636705427653876e-01
1.314999999999999947e+00 1.232444429466318242e-01
1.325000000000000178e+00 1.155709993428988974e-01
1.334999999999999964e+00 1.086568512228293648e-01
1.345000000000000195e+00 1.021388274078965375e-01
1.354999999999999982e+00 9.570782439667784025e-02
1.365000000000000213e+00 8.912273416981719709e-02
1.375000000000000000e+00 8.234177930281835756e-02
1.385000000000000231e+00 7.543009444181300593e-02
1.395000000000000018e+00 6.840967445287306214e-02
1.405000000000000027e+00 6.145905443739096280e-02
1.415000000000000036e+00 5.480803621879322407e-02
1.424999999999999822e+00 4.862795010618156666e-02
1.435000000000000053e+00 4.301629527293049371e-02
1.444999999999999840e+00 3.795783913310533247e-02
1.455000000000000071e+00 3.331330688974596527e-02
1.464999999999999858e+00 2.893599781953008071e-02
1.475000000000000089e+00 2.487189278448816848e-02
1.484999999999999876e+00 2.124287377663167109e-02
